,a.data.Name,coords.x1,coords.x2
196,Beth-haccherem,35.241516,31.665911
197,Beth-haggan~,35.182291,32.584183
198,Beth-haram,35.583333,31.816667
199,Beth-haran,35.583333,31.816667
200,Beth-hoglah,35.513151,31.837062
201,Beth-horon,35.123567,31.878925
202,Beth-jeshimoth,35.598657,31.776911
203,Beth-le-aphrah,35.299135,31.953789
204,Beth-lebaoth~,34.940502,31.391668
205,Beth-maacah,35.578046,33.268526
206,Beth-marcaboth,34.940502,31.391668
207,Beth-meon,35.734892,31.679454
208,Beth-millo~,35.281798,32.213691
209,Beth-nimrah,35.625693,31.900811
210,Beth-pazzez~,35.303683,32.463499
211,Beth-pelet~,34.942986,31.215418
212,Beth-peor,35.71187,31.656099
213,Beth-rehob,35.544122,33.219354
214,Beth-shan,35.503077,32.504238
215,Beth-shean,35.503077,32.504238
216,Beth-shemesh,34.976609,31.752748
217,Beth-shemesh,35.504628,32.40643
218,Beth-shemesh~,35.427134,33.146864
219,Beth-shittah,35.438257,32.552496
220,Beth-tappuah,35.050377,31.52973
221,Beth-togarmah>,45.036328,40.065539
222,Beth-zur,35.10262,31.596107
225,Bethel,35.221032,31.930539
226,Bethel~,35.733402,32.049953
228,Bethlehem,35.210266,31.705361
229,Bethlehem,35.189704,32.735379
230,Bethlehem Ephrathah,35.210266,31.705361
233,Bethuel~,35.733402,32.049953
234,Bethul~,35.733402,32.049953
235,Betonim,35.706297,32.0105
236,Beyond the River>,35.234935,31.777444
237,Bezek,34.952878,31.898029
238,Bezek,35.4,32.3667
239,Bezer,36.48829,32.516137
240,Bileam,35.2833,32.45
241,Bilhah~,34.840888,31.244952
243,Biziothiah~,34.840888,31.244952
244,Bochim,35.221032,31.930539
245,Bor-ashan~,34.9365,31.8099
246,Bozez,35.287147,31.857164
247,Bozkath~,34.846725,31.56485
248,Bozrah,35.60625,30.734691
249,Bozrah,36.48829,32.516137
250,Broad Wall~,35.234935,31.777444
251,Brook of Egypt,33.854957,31.032047
252,Brook of the Arabah~,36.749488,35.136204
253,Brook of the Willows~,35.5599,32.309099
254,Buz~,37.919663,26.625139
255,Cabbon~,34.7667,31.5
256,Cabul,35.211814,32.865661
257,Cabul~,35.211814,32.865661
260,Calah,43.312178,36.142884
261,Calneh,45.229995,32.127213
262,Calno,45.229995,32.127213
264,Canaan>,34.843882,31.693529
265,Canneh,45.229995,32.127213
267,Caphtor,25.007204,35.171239
269,Carchemish,38.01576,36.829281
270,Carmel,35.133331,31.433331
271,Casiphia~,36.749488,35.136204
274,Chaldea>,46.103741,30.962052
275,Chebar,44.06293,33.159129
276,Chephar-ammoni,35.25,31.966667
277,Chephirah,35.095272,31.836401
278,Cherith~,35.5599,32.309099
279,Cherub~,44.420882,32.536503
280,Chesalon,35.05113,31.781049
281,Chesil~,35.733402,32.049953
282,Chesulloth,35.324694,32.683231
283,Chezib,35,31.7
284,Chilmad~,43.152887,36.35941
285,Chinnereth,35.58936,32.806775
286,Chinnereth~,35.58936,32.806775
287,Chinneroth>,35.58936,32.806775
289,Chisloth-tabor,35.324694,32.683231
290,Chitlish~,34.777779,31.823337
293,City of Destruction,31.33822,30.108086
294,City of Salt~,35.392411,31.461525
295,City of the Lord,35.234935,31.777444
299,Corner Gate<,35.234935,31.777444
301,Cozeba,35,31.7
303,Cun,36.152049,33.93148
304,Cush>,31.343557,21.959788
305,Cushan>,31.343557,21.959788
306,Cuth,44.666667,32.733333
307,Cuthah,44.666667,32.733333
308,Cyprus,33.207693,35.018306
310,Dabbesheth,35.266682,33
311,Daberath,35.37171,32.691712
314,Damascus,36.313449,33.519299
315,Dan,35.652483,33.248659
316,Dannah,34.975472,31.561025
317,Debir,34.96667,31.416669
318,Debir,35.349994,31.816662
319,Debir,35.783568,32.662488
321,Dedan,37.919663,26.625139
323,Dibon,35.782841,31.496845
324,Dibon-gad,35.782841,31.496845
325,Dibon~,34.96745,31.1858
326,Dilean~,34.846725,31.56485
327,Dimnah,35.321364,32.781808
328,Dimonah~,34.96745,31.1858
329,Dinhabah?,35.529889,30.336614
330,Diviners' Oak<,35.281798,32.213691
331,Dizahab,34.516339,28.507836
332,Dophkah~,33.40046,28.770015
333,Dor,34.918896,32.613236
334,Dothan,35.180198,32.420643
335,Dragon Spring<,35.234935,31.777444
336,Dumah,34.982762,31.43827
337,Dumah~,37.7,27.4
338,Dung Gate<,35.234935,31.777444
339,Dura~,44.420882,32.536503
340,East Gate<,35.234935,31.777444
341,East~,35.924131,31.950188
342,Ebenezer~,35.180162,31.832739
343,Ebez,35.328129,32.261621
344,Ebron,35.146201,33.047808
345,Ecbatana,48.514966,34.798311
346,Eder 1<,35.210266,31.705361
347,Eder<,35.210266,31.705361
348,Eder~,34.96745,31.1858
349,Edom>,35.60625,30.734691
350,Edrei,36.098996,32.624137
351,Eglaim~,35.498547,30.998062
352,Eglon,34.7667,31.5
353,Egypt's>,31.33822,30.108086
354,Egypt>,31.33822,30.108086
355,Ekron,34.852145,31.777614
356,El-bethel<,35.221032,31.930539
357,El-paran~,33.541944,29.151667
358,Elam>,48.257886,32.189191
359,Elath,35.005732,29.528502
360,Elealeh,35.824275,31.813796
361,Elim,32.980924,29.306194
362,Elishah,33.207693,35.018306
363,Ellasar>,40.997222,37.056944
364,Elon,35.116531,31.973818
365,Elonbeth-hanan,35.109078,31.852593
366,Eloth,35.005732,29.528502
367,Elteke,35.06688,31.869521
368,Eltekeh,35.06688,31.869521
369,Eltekon,34.995406,31.66057
370,Eltolad~,35.733402,32.049953
371,Emek-keziz~,35.513151,31.837062
373,En-dor,35.385667,32.6257
374,En-gannim,34.950106,31.75
375,En-gannim,35.303683,32.463499
376,En-haddah,35.254452,32.478425
377,En-hakkore~,34.976609,31.752748
378,En-hazor,35.35,33.1
379,En-mishpat,34.494795,30.687712
380,En-rimmon,34.860665,31.370835
381,En-rogel,35.234408,31.767775
382,En-shemesh,35.270231,31.77402
383,En-tappuah,35.233333,32.116666
384,Enaim~,34.90968,31.784368
385,Enam~,35.126,32.15
386,Eneglaim~,35.498547,30.998062
387,Engedi,35.392411,31.461525
388,Ephah~,34.90832,28.932881
389,Ephes-dammim,34.944496,31.691186
392,Ephraim Gate<,35.234935,31.777444
393,Ephrath,35.210266,31.705361
394,Ephrathah,35.210266,31.705361
