"name" "x" "y"
"375" "תל אביב        " 34.780855 32.08414
"379" "מושב באזור ים  " 35.138604 31.747171
"380" "ירושלים        " 35.22503 31.778048
"382" "רעננה          " 34.870963 32.180721
"384" "חיפה           " 34.998893 32.81221
"385" "תל אביב        " 34.780855 32.08414
"386" "ראשון לציון    " 34.804046 31.964097
"392" "ירושלים        " 35.22503 31.778048
"393" "יהודי כפרי ים  " 35.069167 31.761572
"394" "יהודי כפרי צפון" 35.423523 32.701689
"396" "מודיעין        " 35.010207 31.891034
"397" "מודיעין        " 35.010207 31.891034
"399" "ישוב עירוני י-ם" 35.147694 31.796781
"400" "ירושלים        " 35.22503 31.778048
"401" "ירושלים        " 35.22503 31.778048
"403" "ירושלים        " 35.22503 31.778048
"405" "ירושלים        " 35.22503 31.778048
"408" "אשדוד          " 34.641074 31.801152
"410" "יבנה           " 34.745256 31.873717
"412" "ראשון לציון    " 34.804046 31.964097
"414" "שוהם           " 34.942531 31.996923
"416" "ירושלים        " 35.22503 31.778048
"417" "יהודי כפרי צפון" 35.423523 32.701689
"418" "יהודי כפרי צפון" 35.423523 32.701689
"419" "חיפה           " 34.998893 32.81221
"420" "ירושלים        " 35.22503 31.778048
"421" "ירושלים        " 35.22503 31.778048
"423" "ירושלים        " 35.22503 31.778048
"424" "ירושלים        " 35.22503 31.778048
"426" "ירושלים        " 35.22503 31.778048
"427" "גבעתיים        " 34.807827 32.068717
"428" "באר שבע        " 34.799743 31.249812
"429" "קיבוצים בדרום  " 31.761572 31.24007
"430" "קיבוצים בצפון  " 35.343336 32.891082
"431" "רעננה          " 34.870963 32.180721
"434" "פתח תקוה       " 34.885672 32.082321
"436" "ירושלים        " 35.22503 31.778048
"437" "ירושלים        " 35.22503 31.778048
"438" "ירושלים        " 35.22503 31.778048
"439" "ירושלים        " 35.22503 31.778048
"440" "מושבים בדרום   " 34.659469 31.452944
"442" "ירושלים        " 35.22503 31.778048
"443" "ירושלים        " 35.22503 31.778048
"445" "ירושלים        " 35.22503 31.778048
"449" "ירושלים        " 35.22503 31.778048
"450" "ירושלים        " 35.22503 31.778048
"451" "ישוב עירוני י-ם" 35.147694 31.796781
"452" "ירושלים        " 35.22503 31.778048
"453" "ירושלים        " 35.22503 31.778048
"459" "בת ים          " 34.741372 32.016188
"462" "תל אביב        " 34.780855 32.08414
"464" "רחובות         " 34.80856 31.898279
"465" "נתיבות         " 34.59495 31.425773
"473" "רמת השרון      " 34.84354 32.143673
"474" "ראש העין       " 34.944364 32.097027
"478" "מודיעין        " 35.010207 31.891034
"480" "ישוב עירוני י-ם" 35.147694 31.796781
"481" "ירושלים        " 35.22503 31.778048
"482" "ירושלים        " 35.22503 31.778048
"484" "בני ברק        " 34.836348 32.086839
"485" "ירושלים        " 35.22503 31.778048
"488" "מושב באזור ים  " 35.138604 31.747171
"489" "ירושלים        " 35.22503 31.778048
"490" "ישוב עירוני דרו" 34.605792 31.34954
"491" "קיבוץ - ירושלים" 35.127474 31.783036
"497" "ירושלים        " 35.22503 31.778048
"499" "ישוב עירוני י-ם" 35.147694 31.796781
"500" "מושבים בצפון   " 35.393488 33.038813
"502" "ישוב עירוני י-ם" 35.147694 31.796781
"504" "ירושלים        " 35.22503 31.778048
"508" "שוהם           " 34.942531 31.996923
"511" "רחובות         " 34.80856 31.898279
"515" "קרית גת        " 34.766359 31.606971
"517" "ירושלים        " 35.22503 31.778048
"519" "מושבים מרכז    " 34.927852 32.14133
"521" "ירושלים        " 35.22503 31.778048
"522" "ירושלים        " 35.22503 31.778048
